iter	Passed	Remaining
755	2879	929
756	2883	925
757	2887	921
758	2891	918
759	2895	914
760	2899	910
761	2903	906
762	2906	902
763	2910	899
764	2914	895
765	2917	891
766	2921	887
767	2924	883
768	2928	879
769	2932	875
770	2936	872
771	2941	868
772	2945	864
773	2948	861
774	2952	857
775	2956	853
776	2960	849
777	2965	846
778	2969	842
779	2974	838
780	2979	835
781	2984	831
782	2988	828
783	2992	824
784	2997	821
785	3003	817
786	3010	814
787	3016	811
788	3023	808
789	3027	804
790	3032	801
791	3036	797
792	3041	794
793	3045	790
794	3049	786
795	3053	782
796	3057	778
797	3060	774
798	3064	770
799	3070	767
800	3075	763
801	3079	760
802	3084	756
803	3088	752
804	3092	749
805	3097	745
806	3103	742
807	3107	738
808	3112	734
809	3118	731
810	3123	727
811	3127	724
812	3133	720
813	3138	717
814	3143	713
815	3149	710
816	3154	706
817	3161	703
818	3169	700
819	3173	696
820	3179	693
821	3185	689
822	3190	686
823	3196	682
824	3201	679
825	3206	675
826	3210	671
827	3214	667
828	3221	664
829	3229	661
830	3238	658
831	3242	654
832	3246	650
833	3252	647
834	3262	644
835	3270	641
836	3278	638
837	3290	636
838	3299	633
839	3304	629
840	3309	625
841	3314	621
842	3317	617
843	3321	613
844	3326	610
845	3330	606
846	3334	602
847	3338	598
848	3342	594
849	3347	590
850	3351	586
851	3357	583
852	3362	579
853	3367	575
854	3373	572
855	3379	568
856	3384	564
857	3388	560
858	3393	557
859	3399	553
860	3403	549
861	3408	545
862	3412	541
863	3417	537
864	3421	534
865	3426	530
866	3431	526
867	3435	522
868	3440	518
869	3446	514
870	3450	511
871	3455	507
872	3461	503
873	3467	499
874	3472	496
875	3478	492
876	3482	488
877	3488	484
878	3492	480
879	3496	476
880	3501	472
881	3505	469
882	3509	464
883	3514	461
884	3519	457
885	3524	453
886	3527	449
887	3531	445
888	3535	441
889	3540	437
890	3544	433
891	3549	429
892	3553	425
893	3557	421
894	3563	418
895	3567	414
896	3572	410
897	3576	406
898	3581	402
899	3585	398
900	3590	394
901	3595	390
902	3599	386
903	3605	382
904	3610	379
905	3614	375
906	3618	371
907	3622	367
908	3627	363
909	3630	359
910	3634	355
911	3639	351
912	3642	347
913	3647	343
914	3653	339
915	3657	335
916	3663	331
917	3667	327
918	3672	323
919	3676	319
920	3679	315
921	3683	311
922	3687	307
923	3690	303
924	3694	299
925	3697	295
926	3704	291
927	3709	287
928	3713	283
929	3718	279
930	3722	275
931	3726	271
932	3731	267
933	3736	264
934	3740	260
935	3744	256
936	3748	252
937	3753	248
938	3758	244
939	3762	240
940	3766	236
941	3770	232
942	3774	228
943	3778	224
944	3784	220
945	3789	216
946	3793	212
947	3799	208
948	3803	204
949	3809	200
950	3814	196
951	3817	192
952	3820	188
953	3824	184
954	3827	180
955	3830	176
956	3834	172
957	3838	168
958	3844	164
959	3847	160
960	3851	156
961	3855	152
962	3858	148
963	3862	144
964	3866	140
965	3869	136
966	3873	132
967	3876	128
968	3880	124
969	3884	120
970	3888	116
971	3891	112
972	3895	108
973	3898	104
974	3902	100
975	3906	96
976	3909	92
977	3913	88
978	3918	84
979	3922	80
980	3925	76
981	3930	72
982	3935	68
983	3939	64
984	3943	60
985	3947	56
986	3951	52
987	3955	48
988	3959	44
989	3964	40
990	3968	36
991	3971	32
992	3975	28
993	3979	24
994	3982	20
995	3987	16
996	3992	12
997	3996	8
998	4002	4
999	4009	0
