iter	Logloss
420	0.1418041706
421	0.1416611671
422	0.141516943
423	0.1412201023
424	0.140869112
425	0.140728302
426	0.1404409504
427	0.1402034283
428	0.1399105835
429	0.1396350098
430	0.1394244766
431	0.139280262
432	0.1390830135
433	0.1389699459
434	0.1387189865
435	0.1385328674
436	0.1383366299
437	0.138065815
438	0.1378113079
439	0.1376701927
440	0.1375092697
441	0.1373093128
442	0.1371763802
443	0.1370187759
444	0.1368312836
445	0.136630249
446	0.1364329338
447	0.1363186932
448	0.1360710144
449	0.1359441566
450	0.1357898712
451	0.1355327225
452	0.1353243542
453	0.1351076984
454	0.1349897861
455	0.1348197746
456	0.1344971085
457	0.1342817879
458	0.1339999199
459	0.1338696671
460	0.1336888981
461	0.1335036278
462	0.1333351707
463	0.1329775715
464	0.1327441978
465	0.1326025963
466	0.1323730183
467	0.1321354103
468	0.1319242096
469	0.1315725422
470	0.1313944721
471	0.1311144829
472	0.1309540653
473	0.1307942009
474	0.1305732155
475	0.1303879452
476	0.1298971748
477	0.1297465515
478	0.1295426464
479	0.1292429733
480	0.1290338898
481	0.1288519669
482	0.1286534119
483	0.1285466576
484	0.1283122826
485	0.1281147766
486	0.1279435062
487	0.1277924538
488	0.1273109722
489	0.1270850182
490	0.1268009567
491	0.1266002369
492	0.1264799404
493	0.1262989902
494	0.1261039639
495	0.1258866882
496	0.1256923485
497	0.125480938
498	0.125246954
499	0.1249905968
500	0.1247992039
501	0.1246850967
502	0.1244251156
503	0.1241749573
504	0.1239751053
505	0.1237878418
506	0.1236000729
507	0.1234066582
508	0.1233178425
509	0.1231143188
510	0.1229526043
511	0.1228267097
512	0.1226447105
513	0.1224792767
514	0.1223471355
515	0.1221486282
516	0.1220096684
517	0.1217768288
518	0.1216064835
519	0.1213917351
520	0.1210810757
521	0.120795908
522	0.1205988216
523	0.1203807354
524	0.1200951385
525	0.119963913
526	0.1198099995
527	0.1195451355
528	0.1194054031
529	0.1192413139
530	0.1191126633
531	0.119027977
532	0.1189218521
533	0.1187781906
534	0.1186996269
535	0.1185820198
536	0.1183878899
537	0.1182222939
538	0.1181451988
539	0.1180581093
540	0.1177806091
541	0.1176773071
542	0.1175274658
543	0.1173068714
544	0.1171627045
545	0.1168898201
546	0.1166011238
547	0.1163653183
548	0.1162601471
549	0.1160901737
550	0.1158922958
551	0.1157922173
552	0.1156801319
553	0.1155526924
554	0.1153001785
555	0.1152339554
556	0.1151130104
557	0.1149630833
558	0.1147752476
559	0.1146295643
560	0.1142435455
561	0.1141093159
562	0.1139483833
563	0.113791914
564	0.1136075497
565	0.1134503269
566	0.1132830429
567	0.1130498886
568	0.1128209972
569	0.1126468563
570	0.1123947144
571	0.1121978569
572	0.112052145
573	0.1118369484
574	0.1116060352
575	0.1114542294
576	0.1112899971
577	0.1110754299
578	0.1109164047
579	0.1107976341
580	0.1106958008
581	0.1104487991
582	0.110299902
583	0.1098749352
584	0.1097505188
585	0.1095948982
586	0.1094263172
587	0.1092516899
588	0.1090647221
589	0.1089220238
590	0.108778019
591	0.1086439705
592	0.1084288692
593	0.1082981491
594	0.1081804848
595	0.1080848408
596	0.1079342556
597	0.1076674652
598	0.1075044727
599	0.1073773384
600	0.1071466446
601	0.1069119263
602	0.1066826248
603	0.1064481258
604	0.1060801697
605	0.1059783077
606	0.1057267952
607	0.1055031013
608	0.1053724003
609	0.1051875305
610	0.1050556087
611	0.1049028015
612	0.1046939182
613	0.1045328522
614	0.1043697357
615	0.1042930698
616	0.1041384125
617	0.1039995193
618	0.1038698769
619	0.1037527847
620	0.1036474323
621	0.103503294
622	0.10335886
623	0.1032579803
624	0.1030026913
625	0.1028543854
626	0.1026203156
627	0.1023245239
628	0.1021603107
629	0.1021002579
630	0.1020133972
631	0.1019155884
632	0.1017441559
633	0.1016325951
634	0.1015433121
635	0.1013977623
636	0.1013091278
637	0.1011916065
638	0.1009412956
639	0.100748148
640	0.1006444359
641	0.1004504204
642	0.1002964211
643	0.1001889324
644	0.100092411
645	0.09983778954
646	0.09970622063
647	0.09960802078
648	0.09944480896
649	0.09927789688
650	0.09912816048
651	0.09900436401
652	0.09882723808
653	0.09870903015
654	0.09855312347
655	0.09842975616
656	0.09833271027
657	0.09821792603
658	0.09811031342
659	0.0979816246
660	0.09785448074
661	0.09776546478
662	0.09764672279
663	0.09709999084
664	0.09697843552
665	0.09683602333
666	0.09659645081
667	0.09646179199
668	0.09632152557
669	0.0961208725
670	0.09597405434
671	0.09571195602
672	0.09551626205
673	0.09532646179
674	0.09515640259
675	0.09480788231
676	0.09469099045
677	0.09458170891
678	0.09440418243
679	0.09432980537
680	0.09420423508
681	0.09402352333
682	0.0938816452
683	0.09370599747
684	0.09357275963
685	0.09343860626
686	0.09335541725
687	0.09326099396
688	0.09320163727
689	0.09308641434
690	0.09296957016
691	0.09278423309
692	0.09265426636
693	0.09252267838
694	0.09238004684
695	0.09209076881
696	0.09191579819
697	0.09181698799
698	0.09163481712
699	0.09146306038
700	0.0912209034
701	0.09106021881
702	0.09084566116
703	0.09070631027
704	0.09050718307
705	0.09009867668
706	0.08989583015
707	0.08972330093
708	0.08958479881
709	0.0893993187
710	0.08928575516
711	0.08917215347
712	0.08902954102
713	0.08879703522
714	0.08871904373
715	0.08851273537
716	0.08839538574
717	0.08833511353
718	0.08794065475
719	0.08785059929
720	0.08769346237
721	0.08756603241
722	0.08731165886
723	0.08712504387
724	0.08702123642
725	0.08686226845
726	0.08675762177
727	0.08662851334
728	0.08647754669
729	0.08639287949
730	0.08625095367
731	0.0860316658
732	0.08588226318
733	0.08571180344
734	0.08555212021
735	0.08541046143
736	0.08529870987
737	0.08512255669
738	0.08478066444
739	0.08470985413
740	0.0845243454
741	0.08438261032
742	0.08427477837
743	0.08418392181
744	0.08405927658
745	0.08396932602
746	0.08393686295
747	0.0838318634
748	0.08375278473
749	0.08358686447
750	0.08347619057
751	0.08342603683
752	0.08325126648
753	0.08315113068
754	0.08301472664
755	0.08293135643
756	0.08286290169
757	0.08275741577
758	0.08265734673
759	0.08260438919
760	0.08252876282
761	0.08242193222
762	0.0824052906
763	0.08227525711
764	0.08216165543
765	0.08211318016
766	0.08194681168
767	0.08177083969
768	0.08166999817
769	0.08160535812
770	0.08146882057
771	0.08140392303
772	0.08130047798
773	0.08125335693
774	0.0811042881
775	0.08101778984
776	0.08090782166
777	0.08071326256
778	0.08057263374
779	0.08044107437
780	0.08032663345
781	0.08001729012
782	0.07990472317
783	0.07968602657
784	0.07955872059
785	0.07944125652
786	0.07936005592
787	0.07923317909
788	0.07906764984
789	0.07897675514
790	0.07862761497
791	0.07846830845
792	0.07822751522
793	0.0780843544
794	0.07797570705
795	0.07772616386
796	0.07769850254
797	0.07758037567
798	0.07743344784
799	0.07736154079
800	0.07728096485
801	0.0771993494
802	0.07697738647
803	0.07682171822
804	0.0766740036
805	0.07657912731
806	0.07637874603
807	0.0761104393
808	0.07609092236
809	0.07601049423
810	0.0759214592
811	0.07585068703
812	0.07574735165
813	0.0756194973
814	0.07556614876
815	0.07536378384
816	0.07523880959
817	0.07511987686
818	0.07504693985
819	0.07492916584
820	0.07474724293
821	0.0747032547
822	0.074632864
823	0.07453494549
824	0.07442973137
825	0.07419202805
826	0.07398178101
827	0.07391124725
828	0.07379914761
829	0.07369033337
830	0.0735954237
831	0.07335826874
832	0.07325668335
833	0.07316999912
834	0.07307450294
835	0.07300590515
836	0.07298920631
837	0.07280952454
838	0.0726948595
839	0.0725180912
840	0.07241402626
841	0.07239617825
842	0.07226191521
843	0.07219696045
844	0.07209309101
845	0.07201435089
846	0.0719286871
847	0.07188011169
848	0.07177614212
849	0.07169509411
850	0.07160927773
851	0.07149686813
852	0.07140677929
853	0.07130300522
854	0.07118414879
855	0.07113416672
856	0.07102908134
857	0.07076916695
858	0.07058930874
859	0.07052857876
860	0.07042957306
861	0.07030553818
862	0.07023095131
863	0.07016762733
864	0.06999808311
865	0.06978839874
866	0.06972186089
867	0.06961191177
868	0.06955720901
869	0.06934702873
870	0.06925104141
871	0.06917070866
872	0.06915081024
873	0.06897455215
874	0.06892951965
875	0.06870857239
876	0.06855014801
877	0.06851378918
878	0.06829305172
879	0.06800607681
880	0.06788578987
881	0.06780474663
882	0.06776432037
883	0.06763329029
884	0.06746700764
885	0.06738406658
886	0.06728457451
887	0.06722144604
888	0.0671306324
889	0.066934762
890	0.06685638905
891	0.06664219379
892	0.06656052113
893	0.06646490574
894	0.06639539719
895	0.06630512238
896	0.06626537323
897	0.0660853529
898	0.06604434967
899	0.06601798534
900	0.06598883152
901	0.06590294361
902	0.0658360815
903	0.06573689938
904	0.06564479828
905	0.06559912682
906	0.06551200867
907	0.06541899681
908	0.06529481888
909	0.06514521122
910	0.06504305363
911	0.06496266365
912	0.06477404594
913	0.06470192432
914	0.06460258484
915	0.06445106506
916	0.06424524784
917	0.06408939362
918	0.06400033474
919	0.06388836861
920	0.06377029419
921	0.06370193958
922	0.06361450195
923	0.06343618393
924	0.0633483696
925	0.06313033104
926	0.0629872179
927	0.06287214279
928	0.06275835991
929	0.06263335228
930	0.06256762028
931	0.06238705635
932	0.06234227657
933	0.06227627754
934	0.06220028877
935	0.06205518246
936	0.06195472717
937	0.06187038422
938	0.06177552223
939	0.0616724205
940	0.0614814043
941	0.06143386841
942	0.06140997887
943	0.0613333559
944	0.06121328831
945	0.06094259739
946	0.06073275566
947	0.06064504623
948	0.06057938576
949	0.06040678978
950	0.06033853054
951	0.06026291847
952	0.06005725861
953	0.05997033119
954	0.059867239
955	0.0598242569
956	0.05976409912
957	0.05970435143
958	0.05959492683
959	0.05957211018
960	0.05953130722
961	0.05949463844
962	0.05928752899
963	0.05923030853
964	0.05902329922
965	0.05886014938
966	0.05879599571
967	0.05858686924
968	0.05851283073
969	0.05843283653
970	0.05837614059
971	0.0582911396
972	0.05819297314
973	0.05810575485
974	0.05801175117
975	0.0579975462
976	0.0579226017
977	0.05787827015
978	0.05778905869
979	0.05773121834
980	0.05762712479
981	0.05756407738
982	0.05744686127
983	0.05738318443
984	0.05727879047
985	0.05720230579
986	0.05710392952
987	0.05707787514
988	0.05691116333
989	0.05673028469
990	0.05658362389
991	0.05654978752
992	0.05648395538
993	0.056329813
994	0.05624015331
995	0.05621812344
996	0.05610895157
997	0.05598357201
998	0.05590245247
999	0.05586627483
